Timegroup,DewPoint,destdewpoint,Prediction
3,-1.7,6.7,no
2,-5.6,11.1,no
1,-5.6,1.7,yes
1,5,1.7,no
1,-2.8,4.4,no
1,-2.2,-2.2,no
1,-21.1,-0.6,no
2,-3.9,16.1,no
2,-13.3,3.9,no
3,-13.9,3.9,yes
2,-10,8.9,yes
2,-3.3,6.7,no
2,-12.2,0.6,no
2,-12.8,3.9,yes
1,6.7,11.7,no
2,-1.8,-0.6,no
2,-4.4,15.6,yes
1,1.7,18.3,no
1,-3.3,3.9,no
3,-13.9,4.4,no
2,-12.2,13.3,no
1,-8.9,14.4,no
2,-5,17.8,no
2,3.9,7.2,yes
2,-5.6,6.1,no
2,-7.2,15.6,no
1,-13.9,12.2,no
2,-10.6,-1.7,no
1,-11.7,15.6,yes
1,-3.9,2.2,no
1,-8.3,18.3,no
1,-11.7,3.3,yes
2,-10,8.9,no
1,-9.4,7.8,no
1,-12.2,5,no
2,-11.1,5.6,no
1,-10.6,5,no
1,-11.7,4.4,no
2,-2.2,5.6,yes
1,-10.6,4.4,yes
2,-11.7,4.4,no
